"businessLegalName","doingBusinessAsName","businessAddressText","streetAddressText","cityName","stateCode","zipCode","sectionCodeList"
"INSIDE WASHINGTON PUBLISHERS LLC","","1919 S EADS ST # 201 ARLINGTON VA 22202-3028","1919 S EADS ST","ARLINGTON","VA","22202-3028","57B: Specialized"
"INSIGHT AUDIO VISUAL SERVICES LLC","","83 VERONICA LN CHARLES TOWN WV 25414-4150","83 VERONICA LN","CHARLES TOWN","WV","25414-4150","64: Contractors"
"INSIGHT CONSTRUCT LLC","","1110 N GLEBE RD # 300 ARLINGTON VA 22201-5704","1110 N GLEBE RD","ARLINGTON","VA","22201-5704","64: Contractors"
"INSIGHT HEALTH CORP","INSIGHT IMAGING - ARLINGTON","2786 S ARLINGTON MILL DR ARLINGTON VA 22206-3402","2786 S ARLINGTON MILL DR","ARLINGTON","VA","22206-3402","57A: Professional"
"INSIGHT LLC","","14707A WILLARD RD CHANTILLY VA 20151-1705","14707A WILLARD RD","CHANTILLY","VA","20151-1705","64: Contractors"
"INSIGHT PROPERTY GROUP LLC","","4601 FAIRFAX DR # 1150 ARLINGTON VA 22203-1554","4601 FAIRFAX DR","ARLINGTON","VA","22203-1554","57B: Specialized"
"INSIGHT SYSTEMS CORPORATION","","1655 FORT MYER DR # 700 ARLINGTON VA 22209-3199","1655 FORT MYER DR","ARLINGTON","VA","22209-3199","57B: Specialized"
"INSIGHT VISION CENTER PLLC","","611 S CARLIN SPRINGS RD # 404 ARLINGTON VA 22204-1087","611 S CARLIN SPRINGS RD","ARLINGTON","VA","22204-1087","57A: Professional"
"INSITE BUILDERS LLC","","4701 SANGAMORE RD # S142 BETHESDA MD 20816-2557","4701 SANGAMORE RD","BETHESDA","MD","20816-2557","64: Contractors"
"INSPIRATION PLUMBING COMPANY","","42669 TRADE WEST DR STERLING VA 20166-2245","42669 TRADE WEST DR","STERLING","VA","20166-2245","64: Contractors"
"INSTALLATION CONCEPTS INC","ICI","15850 COMMERCE CT # J UPPER MARLBORO MD 20774-7438","15850 COMMERCE CT","UPPER MARLBORO","MD","20774-7438","64: Contractors"
"INSTALLATION SERVICES LLC","","","","","","","64: Contractors"
"INSTALLED BUILDING PRODUCTS LLC","ALL PRO INSTALLED BUILDING PRODUCTS","495 S HIGH ST # 50 COLUMBUS OH 43215-5689","495 S HIGH ST","COLUMBUS","OH","43215-5689","64: Contractors"
"INSTITUTE FOR CHINA-AMERICA STUDIES","","220 20TH ST S # 1006 ARLINGTON VA 22202-3628","220 20TH ST S","ARLINGTON","VA","22202-3628","57B: Specialized"
"INSTITUTE FOR GLOBAL ENGAGEMENT","","2111 WILSON BLVD # 700 ARLINGTON VA 22201-3052","2111 WILSON BLVD","ARLINGTON","VA","22201-3052","57B: Specialized"
"INSTITUTE FOR GLOBAL ENVIRONMENTAL STRATEGIES INC","","3033 WILSON BLVD # 700 ARLINGTON VA 22201-3868","3033 WILSON BLVD","ARLINGTON","VA","22201-3868","57B: Specialized"
"INSTITUTE FOR HUMANE STUDIES","","3434 WASHINGTON BLVD # 4TH ARLINGTON VA 22201-4508","3434 WASHINGTON BLVD","ARLINGTON","VA","22201-4508","57B: Specialized"
"INSTITUTE FOR JUSTICE","","901 N GLEBE RD # 900 ARLINGTON VA 22203-1854","901 N GLEBE RD","ARLINGTON","VA","22203-1854","57B: Specialized"
"INSTITUTE FOR THE ADVANCEMENT OF COMMUNITY PHARMACY","","1776 WILSON BLVD # 200 ARLINGTON VA 22209-2504","1776 WILSON BLVD","ARLINGTON","VA","22209-2504","58: Personal Services"
"INSTITUTE FOR THE PSYCHOLOGICAL SCIENCES THE","DIVINE MERCY UNIVERSITY","2001 JEFFERSON DAVIS HWY ARLINGTON VA 22202-3603","2001 JEFFERSON DAVIS HWY","ARLINGTON","VA","22202-3603","57B: Specialized"
"INSTITUTE FOR TRUCK TRANSPORTATION MANAGEMENT","","950 N GLEBE RD # 530 ARLINGTON VA 22203-4183","950 N GLEBE RD","ARLINGTON","VA","22203-4183","57B: Specialized"
"INSTITUTE MANAGEMENT LLC","","1001 19TH ST N # 930 ARLINGTON VA 22209-1736","1001 19TH ST N","ARLINGTON","VA","22209-1736","57B: Specialized"
"INSTITUTE OF CLEAN AIR COMPANIES INC","ICAC","2200 WILSON BLVD # 310 ARLINGTON VA 22201-3352","2200 WILSON BLVD","ARLINGTON","VA","22201-3352","57B: Specialized"
"INSUL TECH INC","","5300 WESTVIEW DR # 101 FREDERICK MD 21703-8372","5300 WESTVIEW DR","FREDERICK","MD","21703-8372","64: Contractors"
"INTEC LLC","","ARMY NAVY DR PENTAGON ARLINGTON VA 22202","ARMY NAVY DR","PENTAGON ARLINGTON","VA","22202-0000","57B: Specialized"
"INTEGRATED MECHANICAL CONSTRUCTION LLC","","14325 WILLARD RD # J CHANTILLY VA 20151-2110","14325 WILLARD RD","CHANTILLY","VA","20151-2110","64: Contractors"
"INTEGRATED POWER SOURCES OF VIRGINIA","","2260 DABNEY RD RICHMOND VA 23230-3323","2260 DABNEY RD","RICHMOND","VA","23230-3323","64: Contractors"
"INTEGRATED SECURITY TECHNOLOGIES INC","","520 HERNDON PKWY # C HERNDON VA 20170-6218","520 HERNDON PKWY","HERNDON","VA","20170-6218","64: Contractors"
"INTEGRATED SHOW MANAGEMENT & MARKETING INC","","3103 14TH ST S ARLINGTON VA 22204-4330","3103 14TH ST S","ARLINGTON","VA","22204-4330","57B: Specialized"
"INTEGRATED SIGN & GRAPHIC INC","","","","","","","64: Contractors"
"INTEGRATED SUPPORT SYSTEMS INC","","1655 FORT MYER DR # 700 ARLINGTON VA 22209-3199","1655 FORT MYER DR","ARLINGTON","VA","22209-3199","57B: Specialized"
"INTEGRATED TRAINING SOLUTIONS INC","","1011 ARLINGTON BLVD # 231 ARLINGTON VA 22209-2242","1011 ARLINGTON BLVD","ARLINGTON","VA","22209-2242","57B: Specialized"
"INTEGRATION LOGISTICS INC","","110 CARSON DR BEAR DE 19701-1319","110 CARSON DR","BEAR","DE","19701-1319","64: Contractors"
"INTEGRATIVE CHIROPRACTIC & NATURAL MEDICINE PLLC","","5610 LEE HWY ARLINGTON VA 22207-1445","5610 LEE HWY","ARLINGTON","VA","22207-1445","57A: Professional"
"INTEGRATRIALS LLC","","1715 N GEORGE MASON DR # 105 ARLINGTON VA 22205-3640","1715 N GEORGE MASON DR","ARLINGTON","VA","22205-3640","57B: Specialized"
"INTEGREON DISCOVERY SOLUTIONS (DC) INC","","","","","","","57B: Specialized"
"INTEGREON MANAGED SOLUTIONS INC","","2011 CRYSTAL DR # 200 ARLINGTON VA 22202-3779","2011 CRYSTAL DR","ARLINGTON","VA","22202-3779","57B: Specialized"
"INTEGRITY CONSTRUCTION GROUP INC","","436B W CENTRAL AVE # B DAVIDSONVILLE MD 21035-2026","436B W CENTRAL AVE","DAVIDSONVILLE","MD","21035-2026","64: Contractors"
"INTEGRITY FLOORS","","13205 TRIADELPHIA RD ELLICOTT CITY MD 21042-1140","13205 TRIADELPHIA RD","ELLICOTT CITY","MD","21042-1140","64: Contractors"
"INTEGRITY MANAGEMENT CONSULTING INC","","4601 FAIRFAX DR # 1200 ARLINGTON VA 22203-1559","4601 FAIRFAX DR","ARLINGTON","VA","22203-1559","57B: Specialized"
"INTEGRITY TECHNOLOGY SERVICE INC","","5001 LEE HWY # 103 ARLINGTON VA 22207-2538","5001 LEE HWY","ARLINGTON","VA","22207-2538","64: Contractors"
"INTEGRYS ENERGY SERVICES INC","WPS ENERGY SERVICES INC","1700 N MOORE ST # 1705 ARLINGTON VA 22209-1913","1700 N MOORE ST","ARLINGTON","VA","22209-1913","57B: Specialized"
"INTEK INC","","2300 CLARENDON BLVD # 310 ARLINGTON VA 22201-3367","2300 CLARENDON BLVD","ARLINGTON","VA","22201-3367","57B: Specialized"
"INTEK JORDAN INC","","2300 CLARENDON BLVD # 310 ARLINGTON VA 22201-3367","2300 CLARENDON BLVD","ARLINGTON","VA","22201-3367","57B: Specialized"
"INTELLAINE LLP","","","","","","","57B: Specialized"
"INTELLEX FORENSICS INC","","3033 WILSON BLVD # 700 ARLINGTON VA 22201-3868","3033 WILSON BLVD","ARLINGTON","VA","22201-3868","57B: Specialized"
"INTELLIDYNE LLC","","241 18TH ST S # 601 ARLINGTON VA 22202-3418","241 18TH ST S","ARLINGTON","VA","22202-3418","57B: Specialized"
"INTELLIGENCE AND NATIONAL SECURITY ALLIANCE","","4301 WILSON BLVD # 910 ARLINGTON VA 22203-4191","4301 WILSON BLVD","ARLINGTON","VA","22203-4191","57B: Specialized"
"INTELLIWARE SYSTEMS INC","","2011 CRYSTAL DR # 400 ARLINGTON VA 22202-3709","2011 CRYSTAL DR","ARLINGTON","VA","22202-3709","57B: Specialized"
"INTER-AMERICAN COUNSELING SERVICES LLC","","3800 FAIRFAX DR # 2 ARLINGTON VA 22203-1703","3800 FAIRFAX DR","ARLINGTON","VA","22203-1703","57A: Professional"
"INTERAMERICAN SECURITY INC","","4817 RANDOLPH RD ROCKVILLE MD 20852-2235","4817 RANDOLPH RD","ROCKVILLE","MD","20852-2235","64: Contractors"
"INTERESSE INTERNATIONAL INC","IIICAREER","1001 19TH ST N # 1200 ARLINGTON VA 22209-1710","1001 19TH ST N","ARLINGTON","VA","22209-1710","58: Personal Services"
"INTERFAB INC","","","","","","","64: Contractors"
"INTERIMAGE INC","","4301 FAIRFAX DR # 205 ARLINGTON VA 22203-1633","4301 FAIRFAX DR","ARLINGTON","VA","22203-1633","57B: Specialized"
"INTERIOR BUILDING SYSTEMS","","","","","","","64: Contractors"
"INTERIOR CONSTRUCTION SERVICES GROUP INC","","9208 VENTURE CT # C3 MANASSAS PARK VA 20111-4843","9208 VENTURE CT","MANASSAS PARK","VA","20111-4843","64: Contractors"
"INTERIOR SPECIALISTS INC","","PO BOX 41 WHITE MARSH MD 21162-0041","PO BOX 41","WHITE MARSH","MD","21162-0041","64: Contractors"
"INTERIOR SPECIALTIES INC","","11900 LIVINGSTON RD # 151 MANASSAS VA 20109-8310","11900 LIVINGSTON RD","MANASSAS","VA","20109-8310","64: Contractors"
"INTERLOCK PAVING INC","","2191 GREENSPRING DR TIMONIUM MD 21093-3113","2191 GREENSPRING DR","TIMONIUM","MD","21093-3113","64: Contractors"
"INTERMEZZO INC","PORTOFINO RESTAURANT","526 23RD ST S ARLINGTON VA 22202-2518","526 23RD ST S","ARLINGTON","VA","22202-2518","26D: Beer & Wine-On/Off, 562120: Mixed Drinks-101-150 Seats, 611: Restaurant"
"INTERNAL MEDICINE GROUP LLC","","611 S CARLIN SPRINGS RD # 514 ARLINGTON VA 22204-1088","611 S CARLIN SPRINGS RD","ARLINGTON","VA","22204-1088","57A: Professional"
"INTERNATIONAL ASSOCIATION FOR COLLEGE ADMISSION COUNSELING INC","","5545 LEE HWY ARLINGTON VA 22207-1613","5545 LEE HWY","ARLINGTON","VA","22207-1613","57B: Specialized"
"INTERNATIONAL AUTO REPAIR INC","","3800 S FOUR MILE RUN DR # F ARLINGTON VA 22206-2300","3800 S FOUR MILE RUN DR","ARLINGTON","VA","22206-2300","60: Repair Services"
"INTERNATIONAL BUSINESS INITIATIVES CORP","IBI INTERNATIONAL","4040 FAIRFAX DR # 650 ARLINGTON VA 22203-1613","4040 FAIRFAX DR","ARLINGTON","VA","22203-1613","57B: Specialized"
"INTERNATIONAL CLIMATE CHANGE PARTNERSHIP","BUSINESS INSTITUTE FOR SUSTAINABILITY","2111 WILSON BLVD # 850 ARLINGTON VA 22201-3051","2111 WILSON BLVD","ARLINGTON","VA","22201-3051","57B: Specialized"
"INTERNATIONAL COMMUNICATIONS ASSOCIATES INC","ICA LANGUAGE SERVICES","1501 WILSON BLVD # 1200 ARLINGTON VA 22209-2446","1501 WILSON BLVD","ARLINGTON","VA","22209-2446","58: Personal Services"
"INTERNATIONAL CONCEPTS LLC","","","","","","","58: Personal Services"
"INTERNATIONAL CORP OF AMERICA INC","","1300 ARMY NAVY DR # 409 ARLINGTON VA 22202-2023","1300 ARMY NAVY DR","ARLINGTON","VA","22202-2023","57B: Specialized"
"INTERNATIONAL DEVELOPMENT GROUP ADVISORY SERVICES  LLC","INTERNATIONAL DEVELOPMENT GROUP LLC","1100 N GLEBE RD # 950 ARLINGTON VA 22201-5791","1100 N GLEBE RD","ARLINGTON","VA","22201-5791","57B: Specialized"
"INTERNATIONAL EDUCATION GROUP LLC","GRAHAM WEBB INT'L ACADEMY","1621 N KENT ST # 1617 ARLINGTON VA 22209-2132","1621 N KENT ST","ARLINGTON","VA","22209-2132","58: Personal Services"
"INTERNATIONAL ENERGY CONSERVATION SYSTEMS INC","IEC SYSTEMS INC","6621 BAY CIR # 140 NORCROSS GA 30071-1218","6621 BAY CIR","NORCROSS","GA","30071-1218","58: Personal Services"
"INTERNATIONAL FOUNDATION FOR ELECTORAL SYSTEMS","IFES","2011 CRYSTAL DR # 1000 ARLINGTON VA 22202-3709","2011 CRYSTAL DR","ARLINGTON","VA","22202-3709","57B: Specialized"
"INTERNATIONAL HAIRSTYLISTS INC","AI-LIEN HAIR STYLISTS","3120 13TH ST N ARLINGTON VA 22201-7014","3120 13TH ST N","ARLINGTON","VA","22201-7014","58: Personal Services"
"INTERNATIONAL LIMOUSINE SERVICE INC","","2300 T ST NE WASHINGTON DC 20002-1938","2300 T ST NE","WASHINGTON","DC","20002-1938","58: Personal Services"
"INTERNATIONAL LIQUID TERMINALS ASSOCIATION","","1005 N GLEBE RD # 600 ARLINGTON VA 22201-5714","1005 N GLEBE RD","ARLINGTON","VA","22201-5714","59: Business Services"
"INTERNATIONAL MANAGEMENT CONSULTANTS INC","INTERNATIONAL MANAGEMENT CONSULTANTS","3 GREAT VALLEY PKWY MALVERN PA 19355-1478","3 GREAT VALLEY PKWY","MALVERN","PA","19355-1478","64: Contractors"
"INTERNATIONAL MARBLE GRANITE TILE INC","","5719 LEE HWY ARLINGTON VA 22207-1424","5719 LEE HWY","ARLINGTON","VA","22207-1424","61: Retail Merchant"
"INTERNATIONAL PHARMACEUTICAL EXCIPIENTS COUNCIL OF THE AMERICAS","","3138 10TH ST N # 500 ARLINGTON VA 22201-2149","3138 10TH ST N","ARLINGTON","VA","22201-2149","57B: Specialized"
"INTERNATIONAL PHARMACEUTICAL EXCIPIENTS COUNCIL OF THE AMERICAS FOUNDATION INC","IPEC-AMERICAS FOUNDATION","3138 10TH ST N # 500 ARLINGTON VA 22201-2108","3138 10TH ST N","ARLINGTON","VA","22201-2108","57B: Specialized"
"INTERNATIONAL PLANNING SERVICES INC","","1001 19TH ST N # 1200 ARLINGTON VA 22209-1710","1001 19TH ST N","ARLINGTON","VA","22209-1710","57B: Specialized"
"INTERNATIONAL RELIEF & DEVELOPMENT INC","I R D","1777 N KENT ST # 300 ARLINGTON VA 22209-2162","1777 N KENT ST","ARLINGTON","VA","22209-2162","57B: Specialized"
"INTERNATIONAL SAFETY EQUIPMENT ASSOCIATION INC","","1901 N MOORE ST # 808 ARLINGTON VA 22209-1706","1901 N MOORE ST","ARLINGTON","VA","22209-1706","57B: Specialized"
"INTERNATIONAL SOCIETY FOR TECHNOLOGY IN EDUCATION INC","","1530 WILSON BLVD # 730 ARLINGTON VA 22209-2418","1530 WILSON BLVD","ARLINGTON","VA","22209-2418","57B: Specialized"
"INTERNATIONAL SOCIETY ON HYPERTENSION IN BLACKS INC","ISHIB","2111 WILSON BLVD # 700 ARLINGTON VA 22201-3052","2111 WILSON BLVD","ARLINGTON","VA","22201-3052","57B: Specialized"
"INTERNATIONAL SPACE BROKERS INC","","1300 WILSON BLVD # 990 ARLINGTON VA 22209-2307","1300 WILSON BLVD","ARLINGTON","VA","22209-2307","57B: Specialized"
"INTERNATIONAL SPINE PAIN & PERFORMANCE CENTER","","1635 N GEORGE MASON DR # 180 ARLINGTON VA 22205-3633","1635 N GEORGE MASON DR","ARLINGTON","VA","22205-3633","57A: Professional"
"INTERNATIONAL TRADING LLC","INTERNATIONAL BARBER & HAIR SALON","5035 COLUMBIA PIKE ARLINGTON VA 22204-2906","5035 COLUMBIA PIKE","ARLINGTON","VA","22204-2906","58: Personal Services"
"INTERNET & INFORMATION SOLUTIONS INC","II SOLUTIONS","4601 FAIRFAX DR # 1200 ARLINGTON VA 22203-1559","4601 FAIRFAX DR","ARLINGTON","VA","22203-1559","57B: Specialized"
"INTERNET SECURITY ALLIANCE","ISA","2500 WILSON BLVD # 245 ARLINGTON VA 22201-3834","2500 WILSON BLVD","ARLINGTON","VA","22201-3834","57B: Specialized"
"IN-TER-SPACE SERVICES INC","CLEAR CHANNEL AIRPORTS","4601 FAIRFAX DR # 1040 ARLINGTON VA 22203-1500","4601 FAIRFAX DR","ARLINGTON","VA","22203-1500","57B: Specialized"
"INTERSTATE CORP","","","","","","","64: Contractors"
"INTERSTATE ELECTRONICS CORP","","201 12TH ST S # 801 ARLINGTON VA 22202-5417","201 12TH ST S","ARLINGTON","VA","22202-5417","57B: Specialized"
"INTERSTATE ENTERPRISES INC","","3169 SPRING ST FAIRFAX VA 22031-2300","3169 SPRING ST","FAIRFAX","VA","22031-2300","64: Contractors"
"INTER-STATE GYPSUM FLOOR VIRGINIA LLC","","","","","","","64: Contractors"
"INTERSTATE HOTELS & RESORTS INC & SUBSIDIARIES","","4501 FAIRFAX DR # 800 ARLINGTON VA 22203-1660","4501 FAIRFAX DR","ARLINGTON","VA","22203-1660","57B: Specialized"
"INTERSTATE RESOURCES INC","DS SMITH","1655 FORT MYER DR # 830 ARLINGTON VA 22209-3113","1655 FORT MYER DR","ARLINGTON","VA","22209-3113","57B: Specialized"
"INTERSTATE RESOURCES INC","DS SMITH","","","","","","57B: Specialized"
"INTERSTATE RESTORATION LLC","","3401 QUORUM DR # 300 FORT WORTH TX 76137-3621","3401 QUORUM DR","FORT WORTH","TX","76137-3621","64: Contractors"
"INTERSTATE SERVICE CO INC","","4101 UTAH AVE BRENTWOOD MD 20722-1531","4101 UTAH AVE","BRENTWOOD","MD","20722-1531","64: Contractors"
"INTERTANKO","","801 N QUINCY ST # 200 ARLINGTON VA 22203-1708","801 N QUINCY ST","ARLINGTON","VA","22203-1708","57B: Specialized"
"INTERTECH SECURITY OF MARYLAND LLC","","1501 PREBLE AVE # 6 PITTSBURGH PA 15233-2248","1501 PREBLE AVE","PITTSBURGH","PA","15233-2248","64: Contractors"
"INTERVID INC","","","","","","","64: Contractors"
"INTOWN RESTORATIONS INC","","1900 KENDALL ST NE WASHINGTON DC 20002-1614","1900 KENDALL ST NE","WASHINGTON","DC","20002-1614","64: Contractors"
"INTRA-MAIL NETWORK INC","INTRA-MAIL NETWORK","1515 JEFFERSON DAVIS HWY # 901 ARLINGTON VA 22202-3311","1515 JEFFERSON DAVIS HWY","ARLINGTON","VA","22202-3311","57B: Specialized"
"INTREPID LLC","THE UPS STORE #6361","3033 WILSON BLVD # E ARLINGTON VA 22201-3843","3033 WILSON BLVD","ARLINGTON","VA","22201-3843","58: Personal Services"
"INVITING STRUCTURES INC","INVITING SPACES","","","","","","64: Contractors"
"IOMAXIS LLC","","4350 FAIRFAX DR # 820 ARLINGTON VA 22203-1620","4350 FAIRFAX DR","ARLINGTON","VA","22203-1620","57B: Specialized"
"IONEDES FAMILY CORPORATION","","6018 WOODLAKE LN ALEXANDRIA VA 22315-2637","6018 WOODLAKE LN","ALEXANDRIA","VA","22315-2637","71B: Renting Commercial Real Estate"
"IP BUSINESS SOLUTIONS LLC","","2200 CLARENDON BLVD # 1400 ARLINGTON VA 22201-3331","2200 CLARENDON BLVD","ARLINGTON","VA","22201-3331","57A: Professional"
"IPSUN POWER","","9504 POPLAR LEAF CT FAIRFAX VA 22031-1150","9504 POPLAR LEAF CT","FAIRFAX","VA","22031-1150","64: Contractors"
"IQBAL QAZI","","1818 ABBOTSFORD DR VIENNA VA 22182-3420","1818 ABBOTSFORD DR","VIENNA","VA","22182-3420","71A: Renting Residential Property"
"IRELAX-N-MASSAGE REAGAN LLC","","1 AVIATION CIR WASHINGTON DC 20001-6000","1 AVIATION CIR","WASHINGTON","DC","20001-6000","382: Peddlers @ Shopping Centers"
"IRELAX-N-MASSAGE REAGAN LLC","","1 AVIATION CIR WASHINGTON DC 20001-6000","1 AVIATION CIR","WASHINGTON","DC","20001-6000","382: Peddlers @ Shopping Centers"
"IRENE KAKAVIATOS REVOCABLE TRUST","","1818 N QUESADA ST ARLINGTON VA 22205-2033","1818 N QUESADA ST","ARLINGTON","VA","22205-2033","71A: Renting Residential Property"
"IRISH ROW LLC","SINE IRISH PUB & RESTAURANT","1301 S JOYCE ST # D001 ARLINGTON VA 22202-2079","1301 S JOYCE ST","ARLINGTON","VA","22202-2079","26D: Beer & Wine-On/Off, 562130: Mixed Drinks-151+ Seats, 611: Restaurant"
"IRMINDRA S RANA MD PLC","","611 S CARLIN SPRINGS RD # 301 ARLINGTON VA 22204-1086","611 S CARLIN SPRINGS RD","ARLINGTON","VA","22204-1086","57A: Professional"
"IRON FABRICATION SERVICES INC","","9010 JUNCTION DR ANNAPOLIS JUNCTION MD 20701-1104","9010 JUNCTION DR","ANNAPOLIS JUNCTION","MD","20701-1104","64: Contractors"
"IRON FISH CONSTRUCTION LLC","","1220 N FILLMORE ST # 400 ARLINGTON VA 22201-6501","1220 N FILLMORE ST","ARLINGTON","VA","22201-6501","64: Contractors"
"IRON KINGDOM INC","","4904 LAWRENCE ST HYATTSVILLE MD 20781-1043","4904 LAWRENCE ST","HYATTSVILLE","MD","20781-1043","64: Contractors"
"IRONSTAR DEVELOPMENT LLC","","1408 N FILLMORE ST # 8 ARLINGTON VA 22201-3819","1408 N FILLMORE ST","ARLINGTON","VA","22201-3819","81A: Builders/Developers"
"IRUMBER INC","7-ELEVEN  STORE #27547A","5030 LEE HWY ARLINGTON VA 22207-2514","5030 LEE HWY","ARLINGTON","VA","22207-2514","61: Retail Merchant"
"IRVIN ZETLIN","","3919 9TH ST S ARLINGTON VA 22204-1531","3919 9TH ST S","ARLINGTON","VA","22204-1531","71A: Renting Residential Property, 71B: Renting Commercial Real Estate"
"IRVINE ACCESS FLOORS INC","","9425 WASHINGTON BLVD N # Y LAUREL MD 20723-1378","9425 WASHINGTON BLVD N","LAUREL","MD","20723-1378","64: Contractors"
"IRVINE RESTAURANT VENTURES LLC","FRESH KITCHEN BY ROBERT IRVINE","2024 CONCESSIONS PENTAGON # 2A1078B WASHINGTON DC 20310-2024","2024 CONCESSIONS PENTAGON","WASHINGTON","DC","20310-2024","611: Restaurant"
"IRVING STREET LLC","IRVING STREET LLC","4013 N STAFFORD ST ARLINGTON VA 22207-4628","4013 N STAFFORD ST","ARLINGTON","VA","22207-4628","71A: Renting Residential Property"
"ISABEL KALDENBACH ESQ PLLC","ISABEL KALDENBACH ESQ","3621 6TH ST S ARLINGTON VA 22204-1617","3621 6TH ST S","ARLINGTON","VA","22204-1617","57A: Professional"
"ISABELLA ENTERPRISES INC","","","","","","","64: Contractors"
"ISEKE RICHARD J ET AL","BARTON STREET LP","3704 PROSPERITY RIDGE CT FAIRFAX VA 22031-3300","3704 PROSPERITY RIDGE CT","FAIRFAX","VA","22031-3300","71A: Renting Residential Property"
"ISEMAN & ASSOCIATES LLC","","4601 FAIRFAX DR # 1200 ARLINGTON VA 22203-1559","4601 FAIRFAX DR","ARLINGTON","VA","22203-1559","57B: Specialized"
"ISI DESIGN AND INSTALLATION SOLUTIONS INC","","PO BOX 80600 INDIANAPOLIS IN 46280-0600","PO BOX 80600","INDIANAPOLIS","IN","46280-0600","64: Contractors"
"ISLAND JEWELRY LLC","ISLAND JEWELRY","1100 S HAYES ST ARLINGTON VA 22202-4903","1100 S HAYES ST","ARLINGTON","VA","22202-4903","61: Retail Merchant"
"ISNP SCHOOLHOUSE HOLDING CO INC","","1005 N GLEBE RD # 610 ARLINGTON VA 22201-5758","1005 N GLEBE RD","ARLINGTON","VA","22201-5758","57B: Specialized"
"ISOM CORPORATION","","1655 FORT MYER DR # 700 ARLINGTON VA 22209-3199","1655 FORT MYER DR","ARLINGTON","VA","22209-3199","57B: Specialized"
"ISOMORF INC","","3033 WILSON BLVD # 700 ARLINGTON VA 22201-3868","3033 WILSON BLVD","ARLINGTON","VA","22201-3868","57B: Specialized"
"ISS MANAGEMENT GROUP LLC","","402 46TH AVE N MYRTLE BEACH SC 29577-2732","402 46TH AVE N","MYRTLE BEACH","SC","29577-2732","71B: Renting Commercial Real Estate"
"ISSA M HAWA","DAZZLE","542 23RD ST S ARLINGTON VA 22202-2518","542 23RD ST S","ARLINGTON","VA","22202-2518","58: Personal Services"
"IT SHOWS INC","","1655 FORT MYER DR # 625 ARLINGTON VA 22209-3113","1655 FORT MYER DR","ARLINGTON","VA","22209-3113","57B: Specialized"
"IT1 SOURCE LLC","","1655 FORT MYER DR # 700 ARLINGTON VA 22209-3199","1655 FORT MYER DR","ARLINGTON","VA","22209-3199","61: Retail Merchant"
"ITA GROUP INC","","1655 FORT MYER DR # 700 ARLINGTON VA 22209-3199","1655 FORT MYER DR","ARLINGTON","VA","22209-3199","57B: Specialized"
"ITALIAN CUSINE INC","LA BETTOLA","558 23RD ST S ARLINGTON VA 22202-2518","558 23RD ST S","ARLINGTON","VA","22202-2518","26D: Beer & Wine-On/Off, 611: Restaurant"
"ITALIAN STORE INC","THE ITALIAN STORE INC","3123 LEE HWY ARLINGTON VA 22201-4207","3123 LEE HWY","ARLINGTON","VA","22201-4207","61: Retail Merchant"
"ITALO INC","ITALO FRAME","3110 10TH ST N # 116 ARLINGTON VA 22201-2072","3110 10TH ST N","ARLINGTON","VA","22201-2072","58: Personal Services"
"ITC DEFENSE CORP","","2001 JEFFERSON DAVIS HWY # 1005 ARLINGTON VA 22202-3617","2001 JEFFERSON DAVIS HWY","ARLINGTON","VA","22202-3617","57B: Specialized"
"ITECH AG LLC","ITECH AG","1621 N KENT ST # 815 ARLINGTON VA 22209-2132","1621 N KENT ST","ARLINGTON","VA","22209-2132","57B: Specialized"
"ITOCHU AVIATION INC","","2231 CRYSTAL DR # 1103 ARLINGTON VA 22202-3727","2231 CRYSTAL DR","ARLINGTON","VA","22202-3727","57B: Specialized"
"ITSOLUTIONS NET GOVERNMENT SOLUTIONS INC","","1801 N LYNN ST ARLINGTON VA 22209-2000","1801 N LYNN ST","ARLINGTON","VA","22209-2000","57B: Specialized"
"ITW FOOD EQUIPMENT GROUP LLC","HOBART","10366 BATTLEVIEW PKWY MANASSAS VA 20109-2338","10366 BATTLEVIEW PKWY","MANASSAS","VA","20109-2338","64: Contractors"
"IVEY WELDING SERVICE INC","","3436 LEE HWY # 3 ARLINGTON VA 22207-3732","3436 LEE HWY","ARLINGTON","VA","22207-3732","64: Contractors"
"IVY WONG SHUK MAN NG","G S GLORY HANDBAGS","PENTAGON WASHINGTON DC 20001","PENTAGON","WASHINGTON","DC","20001-0000","382: Peddlers @ Shopping Centers"
"IVY-CRIMMINS LLC","INFINITY APARTMENTS","955 S COLUMBUS ST ARLINGTON VA 22204-3450","955 S COLUMBUS ST","ARLINGTON","VA","22204-3450","71A: Renting Residential Property"
"IVYSYS TECHNOLOGIES LLC","","4501 FAIRFAX DR # 920 ARLINGTON VA 22203-1660","4501 FAIRFAX DR","ARLINGTON","VA","22203-1660","57B: Specialized"
"J & D MECHANICAL SERVICE INC","","6585 MERCHANT PL # 308 WARRENTON VA 20187-2353","6585 MERCHANT PL","WARRENTON","VA","20187-2353","64: Contractors"
"J & F MOTORS LTD","","4064 S FOUR MILE RUN DR ARLINGTON VA 22206-2307","4064 S FOUR MILE RUN DR","ARLINGTON","VA","22206-2307","60: Repair Services, 61: Retail Merchant, 62: Wholesalers"
"J & F SPECIALTIES INC","","7418 JERVIS ST SPRINGFIELD VA 22151-2923","7418 JERVIS ST","SPRINGFIELD","VA","22151-2923","64: Contractors"
